name,team
ניקולאי בוילסן,דנמרק
סאולי ואיסנן,פינלנד
סטפן אודונל,סקוטלנד
סקוט מקנה,סקוטלנד
רוברט איבנוב,פינלנד
תומאס לאם,פינלנד
תומאש הובוצ'אן,סלובקיה
אגזון בייטולאי,צפון מקדוניה
אלש מאטייו,צ`כיה
אנדרה בוטקה,הונגריה
אקוש קצ'קש,הונגריה
בן קבאנגו,וויילס
בנדגוש בולה,הונגריה
ג'ק הנדרי,סקוטלנד
גיוקו זייקוב,צפון מקדוניה
גרג טיילור,סקוטלנד
דניאל אושאוגנסי,פינלנד
דקלאן גלאגר,סקוטלנד
יונה טויביו,פינלנד
יוקה רייטאלה,פינלנד
מילה שקוריץ',קרואטיה
נייתן פטרסון,סקוטלנד
פאולוס אראיורי,פינלנד
קירה ריסטבסקי,צפון מקדוניה
ריס נורינגטון-דייויס,וויילס
אנטואן גרייזמן,צרפת
ג'יידון סאנצ'ו,אנגליה
קווין דה בריינה,בלגיה
אדן הזאר,בלגיה
לירוי סאנה,גרמניה
מרכוס רשפורד,אנגליה
תומאס מולר,גרמניה
ברונו פרננדש,פורטוגל
ברנרדו סילבה,פורטוגל
לורנצו אינסינייה,איטליה
עוסמאן דמבלה,צרפת
פראן טורס,ספרד
קינגסלי קומאן,צרפת
ראחים סטרלינג,אנגליה
איבן פרישיץ',קרואטיה
אנטה רביץ',קרואטיה
דומניקו ברארדי,איטליה
דני אולמו,ספרד
סטיבן ברחאוס,הולנד
פיל פודן,אנגליה
קאי האברץ,גרמניה
אילקאי גונדואן,גרמניה
אמיל פורסברג,שבדיה
יאניק קראסקו,בלגיה
כריסטיאן אריקסן,דנמרק
לאון גורצקה,גרמניה
מייסון מאונט,אנגליה
מיקל אוירסבאל,ספרד
ניקולה ולאשיץ',קרואטיה
פדריקו קייזה,איטליה
פיוטר זיילינסקי,פולין
שרדאן שאקירי,שווייץ
ג'ורג'יניו ווינאלדום,הולנד
דויד אלאבה,אוסטריה
דייבי קלאסן,הולנד
הקאן צ'לאנולו,טורקיה
ויקטור ציגנקוב,אוקראינה
טוני קרוס,גרמניה
טורגן הזאר,בלגיה
טיאגו אלקנטרה,ספרד
יוזואה קימיך,גרמניה
לוקה מודריץ',קרואטיה
מארק האמשיק,סלובקיה
מיסלאב אורשיץ',קרואטיה
מרסל זביצר,אוסטריה
פבלו סראביה,ספרד
פול פוגבה,צרפת
קווינסי פרומס,הולנד
תומא למר,צרפת
פדרי,ספרד
קוקה,ספרד
אדריין ראביו,צרפת
אלכסיי מירנצ'וק,רוסיה
אלכסנדר גולובין,רוסיה
אנגולו קאנטה,צרפת
אנדראס סקוב אולסן,דנמרק
אנדרי ירמולנקו,אוקראינה
ארון ראמזי,וויילס
ג'מאל מוסיאלה,גרמניה
ג'ק גריליש,אנגליה
גונסאלו גדס,פורטוגל
דוני ואן דה ביק,הולנד
דז'אן קולוסבסקי,שבדיה
האנס ואנקן,בלגיה
הארי ווילסון,וויילס
ויקטור קלאסון,שבדיה
ולדימיר וייס,סלובקיה
ז'רמי דוקו,בלגיה
יונאס הופמן,גרמניה
יוסוף יאזיצ'י,טורקיה
יוסיפ ברקאלו,קרואטיה
יורי טיילמנס,בלגיה
כריסטוף באומגרטנר,אוסטריה
לורנצו פלגריני,איטליה
מרסלו ברוזוביץ',קרואטיה
סרחיו אוליביירה,פורטוגל
פדריקו ברנרדרסקי,איטליה
פרנקי דה יונג,הולנד
קורנטין טוליסו,צרפת
רוסלן מלינובסקי,אוקראינה
רפא סילבה,פורטוגל
תומאש סוצ'ק,צ`כיה
ז'ורז'יניו,איטליה
מארלוס,אוקראינה
רודרי,ספרד
אדאמה טראורה,ספרד
אדמילסון פרננדס,שווייץ
אדמיר מחמדי,שווייץ
אוזאן טופאן,טורקיה
אונדרי דודה,סלובקיה
אליף אלמאס,צפון מקדוניה
אלכסנדר טראיקובסקי,צפון מקדוניה
אנטונין באראק,צ`כיה
אניס בארדי,צפון מקדוניה
אקסל ויטסל,בלגיה
בוקאיו סאקה,אנגליה
ג'וד בלינגהאם,אנגליה
ג'ון מגין,סקוטלנד
ג'ורדן הנדרסון,אנגליה
ג'יימס פורסט,סקוטלנד
ג'נגיז אונדר,טורקיה
גז'גוז' קריכוביאק,פולין
גרניט ג'אקה,שווייץ
דייויד ברוקס,וויילס
דניאל ג'יימס,וויילס
דניס פראט,בלגיה
דניס צ'רישב,רוסיה
דקלאן רייס,אנגליה
ולדימיר דארידה,צ`כיה
ז'ואאו מוטיניו,פורטוגל
יאקוב יאנקטו,צ`כיה
יאקוב מודר,פולין
יוראי קוצקה,סלובקיה
כריסטיאן פסנאכט,שווייץ
לאנדר דנדונקר,בלגיה
לאנדרו טרוסארד,בלגיה
לואיס שאוב,אוסטריה
מוסא סיסוקו,צרפת
מריו פשאליץ',קרואטיה
מרקו וראטי,איטליה
מתאו קובאצ'יץ',קרואטיה
ניקולו בארלה,איטליה
סקוט מקטומיניי,סקוטלנד
סרחיו בוסקטס,ספרד
פביאן רואיס,ספרד
פדרו גונסאלבש,פורטוגל
פלוריאן נויהאוס,גרמניה
קודי גאקפו,הולנד
קן סמה,שבדיה
רובן ורגאס,שווייץ
רובן נבס,פורטוגל
רוברט מאק,סלובקיה
רוברט סקוב,דנמרק
רמו פרוילר,שווייץ
רנאטו סאנצ'ס,פורטוגל
אוני ולאקארי,פינלנד
אירפאן קאבג'י,טורקיה
אלכסיי איאונוב,רוסיה
אלכסנדר זובקוב,אוקראינה
אלסנדרו שוף,אוסטריה
אנדריי מוסטובוי,רוסיה
אריק יירקה,סלובקיה
בריאן כריסטנטה,איטליה
ג'ונתן וויליאמס,וויילס
דאלר קוזיאייב,רוסיה
דנילו פריירה,פורטוגל
דניס זקאריה,שווייץ
דניס מקארוב,רוסיה
וויליאם קרבאליו,פורטוגל
ולנטינו לזארו,אוסטריה
ז'ואאו פלהיניה,פורטוגל
טארס סטפננקו,אוקראינה
יבגני מקרנקו,אוקראינה
יוליאן באומגרטלינגר,אוסטריה
לאסי לפאלאינן,פינלנד
לאסלו קליינהייזלר,הונגריה
לוקאש הראסלין,סלובקיה
לוקה איבנושץ,קרואטיה
לסלו בנס,סלובקיה
מגומד אוזדויב,רוסיה
מילאן באדלי,קרואטיה
מנואל לוקאטלי,איטליה
מרטן דה רון,הולנד
מריאן ראדסקי,צפון מקדוניה
מתאוש קליש,פולין
מתיאס סוואנברג,שבדיה
נאסר צ'אדלי,בלגיה
סבסטיאן לארסון,שבדיה
סטיבן צובר,שווייץ
סטפנו סנסי,איטליה
סרגיי סידורצ'וק,אוקראינה
עבדולקאדר עומור,טורקיה
פטריק הרושובסקי,סלובקיה
פייר-אמיל הויביירג,דנמרק
פיליפ הולנדר,הונגריה
פלוריאן גריליץ',אוסטריה
פרדריק ינסן,פינלנד
קווין וארגה,הונגריה
קווין ניסבט,סקוטלנד
קונרד ליימר,אוסטריה
קלווין פיליפס,אנגליה
קסאבר שלאגר,אוסטריה
קרול לינטי,פולין
רובין לוד,פינלנד
רומן זובנין,רוסיה
ריאן חראוונברש,הולנד
ריאן פרייזר,סקוטלנד
ריפאט ז'מאלטדינוב,רוסיה
שטפן אילזנקר,אוסטריה
תומאס דילייני,דנמרק
אדם נאג'י,הונגריה
אוקאי יוקושלו,טורקיה
אורקון קוקג'ו,טורקיה
אית'ן אמפאדו,וויילס
אלבין אקדל,שבדיה
אנדראס שאפר,הונגריה
אריאן אדמי,צפון מקדוניה
בובאן ניקולוב,צפון מקדוניה
בילי גילמור,סקוטלנד
ג'ו אלן,וויילס
ג'ו מורל,וויילס
ג'יבריל סו,שווייץ
גוסטב סוונסון,שבדיה
גיאורגי סודאקוב,אוקראינה
גלן קמארה,פינלנד
דייויד טרנבול,סקוטלנד
דמיטרי בארינוב,רוסיה
דרקו קורלינוב,צפון מקדוניה
טון קופמיינרס,הולנד
טיילאן אנטליאלי,טורקיה
טים ספארב,פינלנד
יאקוב פשק,צ`כיה
ינס קאיוסטה,שבדיה
כריסטופר אולסון,שבדיה
כרם אקטורקוגלו,טורקיה
לוקאס מאסופוסט,צ`כיה
מאתוש ברו,סלובקיה
מיקל דמסגארד,דנמרק
מתיאס ינסן,דנמרק
סטיוארט ארמסטרונג,סקוטלנד
סטניסלב לובוטקה,סלובקיה
פז'מיסלאב פרנקובסקי,פולין
פז'מיסלב פלאשטה,פולין
פירי סוירי,פינלנד
קאלום מקרגור,סקוטלנד
קספר קוזלובסקי,פולין
רוברט טיילור,פינלנד
רולנד שאלאי,הונגריה
רומן בזוס,אוקראינה
רסמוס שולר,פינלנד
תומאש הולש,צ`כיה
תומאש סוסלוב,סלובקיה
תמאס צ'רי,הונגריה
אלכס קראל,צ`כיה
אנדרס כריסטיאנסן,דנמרק
ג'ון פלק,סקוטלנד
דויד סיגר,הונגריה
דורוחן טוקוז,טורקיה
דילן לוויט,וויילס
דניאל אברמובסקי,צפון מקדוניה
דניאל גזדג,הונגריה
דניל פומין,רוסיה
טיומיר קוסטדינוב,צפון מקדוניה
יוני קאוקו,פינלנד
כריסטיאן נורגורד,דנמרק
מיכל סאדילק,צ`כיה
מקסים מוחין,רוסיה
מתיו סמית',וויילס
סבולץ שון,הונגריה
סטפן ספירובסקי,צפון מקדוניה
פטר שבצ'יק,צ`כיה
פרהאן חסאני,צפון מקדוניה
רובין קולוויל,וויילס
רולנד ורגה,הונגריה
הארי קיין,אנגליה
כריסטיאנו רונאלדו,פורטוגל
קיליאן אמבפה,צרפת
כרים בנזמה,צרפת
רומלו לוקאקו,בלגיה
סרג' גנאברי,גרמניה
צ'ירו אימובילה,איטליה
רוברט לבנדובסקי,פולין
דיוגו ז'וטה,פורטוגל
ממפיס דפאיי,הולנד
אלבארו מוראטה,ספרד
ג'רארד מורנו,ספרד
דריס מרטנס,בלגיה
טימו ורנר,גרמניה
אנדראה בלוטי,איטליה
ארטם דזיובה,רוסיה
ארקדיוש מיליק,פולין
ברונו פטקוביץ',קרואטיה
גארת' בייל,וויילס
ואוט וחהורסט,הולנד
ז'ואאו פליקס,פורטוגל
אוליביה ז'ירו,צרפת
אלכסנדר איסאק,שבדיה
אנדרה סילבה,פורטוגל
אנדרי קרמאריץ',קרואטיה
דומיניק קלברט-לווין,אנגליה
האריס ספרוביץ',שווייץ
וויסאם בן יידר,צרפת
כריסטיאן בנטקה,בלגיה
לוק דה יונג,הולנד
בוראק אילמאז,טורקיה
בריל אמבולו,שווייץ
דונייל מאלן,הולנד
מיצ'י באטשואי,בלגיה
מרטין בריית'ווייט,דנמרק
מרקו ארנאוטוביץ',אוסטריה
מרקוס תוראם,צרפת
סשה קלאידזיץ',אוסטריה
קווין פולאנד,גרמניה
רומן יארמצ'וק,אוקראינה
יונאס ווינד,דנמרק
יוסוף פולסן,דנמרק
מריו גברנוביץ',שווייץ
מרכוס ברג,שבדיה
פטריק שיק,צ`כיה
קיפר מור,וויילס
אדם הלוזק,צ`כיה
אלכסנדר סובולב,רוסיה
אנדראס קורנליוס,דנמרק
אנטה בודימיר,קרואטיה
אנטון זבולוטני,רוסיה
גוראן פאנדב,צפון מקדוניה
דויד סטרלץ,סלובקיה
דויד קובנצקי,פולין
ז'ורדן לארסון,שבדיה
טימו פוקי,פינלנד
יאקוב סויירצ'וק,פולין
כרים אוניסיוו,אוסטריה
מיכאל גרגוריץ',אוסטריה
קנאן קארמאן,טורקיה
קספר דולברג,דנמרק
קרול סוידרסקי,פולין
רובין קייסון,שבדיה
שה אדאמס,סקוטלנד
אדם סאלאי,הונגריה
איבן טריקובסקי,צפון מקדוניה
אנס אונאל,טורקיה
ג'יאקומו רספאדורי,איטליה
טיילר רוברטס,וויילס
יואל פויינפלו,פינלנד
לינדון דייקס,סקוטלנד
מאתיי וידרה,צ`כיה
מיכאל ג'וריש,סלובקיה
מיכאל קרמנצ'יק,צ`כיה
נמניה ניקוליץ',הונגריה
רוברט בוז'ניק,סלובקיה
תומאש פקהארט,צ`כיה
ארטם בסדין,אוקראינה
ארטם דובביק,אוקראינה
חליל דרויסוגלו,טורקיה
יאנוס האן,הונגריה
מילאן ריסטובסקי,צפון מקדוניה
מרקוס פורס,פינלנד
ריאן כריסטי,סקוטלנד
ולאטקו סטויאנובסקי,צפון מקדוניה
קרסטה ולקובסקי,צפון מקדוניה
