Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Mario Pasalic,5,379,1,0,1.6,6.425,0.556,0.468,0.083,0.000,0.050
Marko Rog,1,64,0,0,1,6.16,0.111,0.079,0.000,0.000,0.000
Mateo Kovacic,7,638,2,1,0.5,7.18,0.778,0.788,0.167,0.125,0.150
Milan Badelj,2,100,0,0,0,6.3,0.222,0.123,0.000,0.000,0.000
Mile Skoric,1,90,0,0,0,6.34,0.111,0.111,0.000,0.000,0.000
Mislav Orsic,1,153,0,0,1.15,6.28,0.111,0.189,0.000,0.000,0.000
Nikola Vlasic,8,707,2,1,2,7.04,0.889,0.873,0.167,0.125,0.150
Sime Vrsaljko,2,136,0,0,0.5,6.49,0.222,0.168,0.000,0.000,0.000
Tin Jedvaj,1,90,0,0,0,6.19,0.111,0.111,0.000,0.000,0.000
Toma Basic,0,1,0,0,0,6,0.000,0.001,0.000,0.000,0.000
Albin Ekdal,4,359,0,0,0.5,6.31,0.500,0.514,0.000,0.000,0.000
Alexander Isak,4,326,1,0,1.9,6.79,0.500,0.467,0.111,0.000,0.067
Carl Mikael Lustig,7,564,0,1,0.45,6.69,0.875,0.808,0.000,0.167,0.067
Dejan Kulusevski,6,549,1,0,0.85,6.32,0.750,0.787,0.111,0.000,0.067
Emil Forsberg,6,545,0,1,2.4,6.895,0.750,0.781,0.000,0.167,0.067
Emil Krafth,1,120,0,0,0,6.185,0.125,0.172,0.000,0.000,0.000
Filip Helander,3,294,0,0,0.25,6.74,0.375,0.421,0.000,0.000,0.000
Gustav Svensson,1,44,0,0,0,5.1,0.125,0.063,0.000,0.000,0.000
Jens Cajuste,0,3,0,0,0,6.34,0.000,0.004,0.000,0.000,0.000
John Guidetti,0,13,0,0,2,6.04,0.000,0.019,0.000,0.000,0.000
Ken Sema,0,2,0,0,0,6.15,0.000,0.003,0.000,0.000,0.000
