Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Cristiano Ronaldo,7,621,3,0,5.6,7.125,0.778,0.767,0.176,0.000,0.097
Cédric Soares,1,90,0,0,0,6.38,0.111,0.111,0.000,0.000,0.000
Daniel Podence,0,16,0,0,1,6.09,0.000,0.020,0.000,0.000,0.000
Danilo Pereira,7,612,0,0,0.65,6.895,0.778,0.756,0.000,0.000,0.000
Diogo Jota,5,480,6,2,2.4,7.37,0.556,0.593,0.353,0.143,0.258
Domingos Duarte,1,90,0,0,1,7.03,0.111,0.111,0.000,0.000,0.000
Gonçalo Guedes,0,68,0,0,0,6.69,0.000,0.084,0.000,0.000,0.000
José Fonte,3,270,0,0,1,6.455,0.333,0.333,0.000,0.000,0.000
João Cancelo,7,632,1,2,1.25,7.285,0.778,0.780,0.059,0.143,0.097
João Félix,7,560,2,1,1.7,6.735,0.778,0.691,0.118,0.071,0.097
João Moutinho,4,321,0,0,0.25,6.935,0.444,0.396,0.000,0.000,0.000
João Palhinha,0,25,1,0,0.3,6.48,0.000,0.031,0.059,0.000,0.032
Mário Rui,1,71,0,0,0,6.37,0.111,0.088,0.000,0.000,0.000
Nuno Mendes,2,198,0,0,0.3,7.28,0.222,0.244,0.000,0.000,0.000
Nélson Semedo,2,180,0,0,0.5,7.53,0.222,0.222,0.000,0.000,0.000
Paulinho,0,18,0,0,0,6.05,0.000,0.022,0.000,0.000,0.000
Pedro Neto,1,112,0,2,1,7.59,0.111,0.138,0.000,0.143,0.065
Pepe,4,360,0,1,1,7.43,0.444,0.444,0.000,0.071,0.032
Rafa,0,51,0,0,0,6.19,0.000,0.063,0.000,0.000,0.000
Raphael Guerreiro,5,449,0,1,1,7.23,0.556,0.554,0.000,0.071,0.032
Renato Sanches,1,119,0,0,1,6.56,0.111,0.147,0.000,0.000,0.000
Rui Patrício,4,360,0,0,0,6.91,0.444,0.444,0.000,0.000,0.000
Rúben Dias,9,810,2,0,0.9,7.05,1.000,1.000,0.118,0.000,0.065
Rúben Neves,2,194,0,0,1,6.545,0.222,0.240,0.000,0.000,0.000
Rúben Semedo,1,90,0,1,0,7.94,0.111,0.111,0.000,0.071,0.032
Sérgio Oliveira,1,102,0,0,0.3,6.145,0.111,0.126,0.000,0.000,0.000
Trincão,0,76,0,0,1.3,6.49,0.000,0.094,0.000,0.000,0.000
William Carvalho,3,224,0,1,0.3,6.88,0.333,0.277,0.000,0.071,0.032
Ainsley Maitland-Niles,1,44,0,0,0,6.13,0.125,0.062,0.000,0.000,0.000
Ben Chilwell,3,218,0,1,0.25,6.795,0.375,0.309,0.000,0.077,0.034
Bukayo Saka,1,142,0,0,2.5,7.03,0.125,0.201,0.000,0.000,0.000
Conor Coady,3,270,0,0,0.25,6.81,0.375,0.382,0.000,0.000,0.000
Danny Ings,0,22,0,0,0,6.52,0.000,0.031,0.000,0.000,0.000
Declan Rice,8,706,1,0,0.5,7.27,1.000,1.000,0.063,0.000,0.034
Dominic Calvert-Lewin,2,169,2,0,1.85,6.885,0.250,0.239,0.125,0.000,0.069
Eric Dier,5,450,0,0,1,6.77,0.625,0.637,0.000,0.000,0.000
Harry Kane,7,627,2,2,3.75,7.41,0.875,0.888,0.125,0.154,0.138
Harry Maguire,5,391,1,0,0.75,6.93,0.625,0.554,0.063,0.000,0.034
Harry Winks,0,71,0,1,0,6.56,0.000,0.101,0.000,0.077,0.034
Jack Grealish,2,180,0,0,1.3,6.88,0.250,0.255,0.000,0.000,0.000
Jadon Sancho,2,185,0,1,0.2,6.3,0.250,0.262,0.000,0.077,0.034
James Ward-Prowse,2,199,1,0,0.5,7.345,0.250,0.282,0.063,0.000,0.034
Jesse Lingard,1,100,0,1,3.3,7.03,0.125,0.142,0.000,0.077,0.034
Joe Gomez,2,180,0,0,0,6.92,0.250,0.255,0.000,0.000,0.000
John Stones,3,226,0,1,0.7,6.53,0.375,0.320,0.000,0.077,0.034
Jordan Henderson,2,126,0,0,0,6.42,0.250,0.178,0.000,0.000,0.000
Jordan Pickford,6,540,0,0,0,6.35,0.750,0.765,0.000,0.000,0.000
Jude Bellingham,0,45,0,0,3,7.31,0.000,0.064,0.000,0.000,0.000
Kalvin Phillips,5,441,0,0,0,6.83,0.625,0.625,0.000,0.000,0.000
Kieran Trippier,5,470,0,1,0.1,6.795,0.625,0.666,0.000,0.077,0.034
Kyle Walker,7,584,0,0,0.55,6.61,0.875,0.827,0.000,0.000,0.000
Luke Shaw,1,90,0,1,0,7.91,0.125,0.127,0.000,0.077,0.034
Marcus Rashford,2,162,1,0,2.5,6.64,0.250,0.229,0.063,0.000,0.034
Mason Greenwood,0,12,0,0,0,6.11,0.000,0.017,0.000,0.000,0.000
Mason Mount,7,552,3,1,1.8,7.17,0.875,0.782,0.188,0.077,0.138
Nick Pope,3,270,0,0,0,6.31,0.375,0.382,0.000,0.000,0.000
Ollie Watkins,0,27,1,0,1,7.32,0.000,0.038,0.063,0.000,0.034
Phil Foden,4,370,2,2,2.1,7.775,0.500,0.524,0.125,0.154,0.138
Raheem Sterling,5,406,2,0,2.35,7.595,0.625,0.575,0.125,0.000,0.069
Reece James,2,151,0,1,0.5,6.585,0.250,0.214,0.000,0.077,0.034
Tammy Abraham,0,14,0,0,1,6.26,0.000,0.020,0.000,0.000,0.000
Trent Alexander-Arnold,2,183,0,0,0.3,6.28,0.250,0.259,0.000,0.000,0.000
Tyrone Mings,1,215,0,0,0,6.47,0.125,0.305,0.000,0.000,0.000
Adnan Januzaj,0,13,0,1,0,6.92,0.000,0.016,0.000,0.050,0.021
Axel Witsel,5,450,1,0,1.4,7.03,0.556,0.556,0.036,0.000,0.021
Christian Benteke,0,26,1,0,3,7.55,0.000,0.032,0.036,0.000,0.021
Dedryck Boyata,2,226,0,0,0,6.275,0.222,0.279,0.000,0.000,0.000
Dennis Praet,1,111,1,1,0.75,7.9,0.111,0.137,0.036,0.050,0.042
Dries Mertens,6,489,3,1,1.75,7.04,0.667,0.604,0.107,0.050,0.083
Hans Vanaken,1,129,2,1,2.75,8.065,0.111,0.159,0.071,0.050,0.063
Jan Vertonghen,7,604,0,0,0,7.055,0.778,0.746,0.000,0.000,0.000
Jason Denayer,8,721,1,0,0.1,6.735,0.889,0.890,0.036,0.000,0.021
Jéremy Doku,3,244,2,2,0.65,8.455,0.333,0.301,0.071,0.100,0.083
Kevin De Bruyne,6,513,2,4,2,7.63,0.667,0.633,0.071,0.200,0.125
Koen Casteels,1,55,0,0,0,6.29,0.111,0.068,0.000,0.000,0.000
Leander Dendoncker,3,296,0,1,0.15,6.835,0.333,0.365,0.000,0.050,0.021
Leandro Trossard,2,196,2,0,0.9,6.8,0.222,0.242,0.071,0.000,0.042
Michy Batshuayi,2,154,3,1,4.5,8.585,0.222,0.190,0.107,0.050,0.083
Nacer Chadli,2,146,0,0,0,6.085,0.222,0.180,0.000,0.000,0.000
Romelu Lukaku,7,630,7,1,3.15,7.54,0.778,0.778,0.250,0.050,0.167
Simon Mignolet,4,395,0,0,0,6.565,0.444,0.488,0.000,0.000,0.000
Thibaut Courtois,4,360,0,0,0,6.385,0.444,0.444,0.000,0.000,0.000
Thomas Foket,0,47,0,1,0,6.535,0.000,0.058,0.000,0.050,0.021
Thomas Meunier,6,540,0,2,0.4,7.305,0.667,0.667,0.000,0.100,0.042
Thomas Vermaelen,1,46,0,0,0,6.3,0.111,0.057,0.000,0.000,0.000
Thorgan Hazard,6,496,1,2,0.9,7.26,0.667,0.612,0.036,0.100,0.063
Timothy Castagne,3,298,0,0,0.75,6.45,0.333,0.368,0.000,0.000,0.000
Toby Alderweireld,9,810,0,1,0.75,7.105,1.000,1.000,0.000,0.050,0.021
Yannick Carrasco,3,230,0,0,1.7,6.33,0.333,0.284,0.000,0.000,0.000
Yari Verschaeren,0,42,0,1,0.5,6.7,0.000,0.052,0.000,0.050,0.021
Youri Tielemans,7,647,2,0,0.85,6.97,0.778,0.799,0.071,0.000,0.042
Alessandro Bastoni,3,269,0,0,0.5,7.185,0.333,0.332,0.000,0.000,0.000
Alessandro Florenzi,6,491,0,1,0.55,6.89,0.667,0.606,0.000,0.100,0.043
Alessio Romagnoli,1,1,0,0,0,6,0.111,0.001,0.000,0.000,0.000
Andrea Belotti,5,392,2,0,4,6.975,0.556,0.484,0.154,0.000,0.087
Bryan Cristante,0,9,0,0,0,6.17,0.000,0.011,0.000,0.000,0.000
Ciro Immobile,4,393,2,1,3.35,7.13,0.444,0.485,0.154,0.100,0.130
Cristiano Biraghi,1,90,0,0,0,6.38,0.111,0.111,0.000,0.000,0.000
Danilo D'Ambrosio,2,180,0,0,1,7.19,0.222,0.222,0.000,0.000,0.000
Davide Calabria,0,1,0,0,0,6,0.000,0.001,0.000,0.000,0.000
Domenico Berardi,2,190,3,0,1.65,7.605,0.222,0.235,0.231,0.000,0.130
Emerson,5,401,0,0,1.75,7.23,0.556,0.495,0.000,0.000,0.000
Federico Bernardeschi,2,176,0,0,2.75,6.875,0.222,0.217,0.000,0.000,0.000
Federico Chiesa,4,334,0,0,1.3,6.64,0.444,0.412,0.000,0.000,0.000
Francesco Acerbi,5,451,0,0,0.9,6.97,0.556,0.557,0.000,0.000,0.000
Francesco Caputo,0,7,0,0,0,6.04,0.000,0.009,0.000,0.000,0.000
Gianluca Mancini,1,90,0,0,1,7.76,0.111,0.111,0.000,0.000,0.000
Gianluigi Donnarumma,9,810,0,0,0,6.865,1.000,1.000,0.000,0.000,0.000
Giorgio Chiellini,3,270,0,0,0,7.57,0.333,0.333,0.000,0.000,0.000
Giovanni Di Lorenzo,0,68,0,0,0.5,6.475,0.000,0.084,0.000,0.000,0.000
Jorginho,5,450,1,0,0.4,7.04,0.556,0.556,0.077,0.000,0.043
Kevin Lasagna,0,8,0,0,1,6.02,0.000,0.010,0.000,0.000,0.000
Leonardo Bonucci,6,540,0,0,0.75,7.045,0.667,0.667,0.000,0.000,0.000
Leonardo Spinazzola,3,320,0,0,0.6,7.03,0.333,0.395,0.000,0.000,0.000
Lorenzo Insigne,6,533,0,5,2.9,7.495,0.667,0.658,0.000,0.500,0.217
Lorenzo Pellegrini,5,351,1,0,1.5,6.735,0.556,0.433,0.077,0.000,0.043
Manuel Locatelli,5,502,1,2,1.1,7.155,0.556,0.620,0.077,0.200,0.130
Marco Verratti,4,324,0,0,0.5,7.175,0.444,0.400,0.000,0.000,0.000
Matteo Pessina,1,70,0,0,0.7,6.32,0.111,0.086,0.000,0.000,0.000
Moise Kean,0,107,0,0,1,6.21,0.000,0.132,0.000,0.000,0.000
Nicolò Barella,7,673,1,1,0.6,7.02,0.778,0.831,0.077,0.100,0.087
Nicolò Zaniolo,1,61,0,0,1,5.98,0.111,0.075,0.000,0.000,0.000
Rafael Tolói,1,90,0,0,0,7.12,0.111,0.111,0.000,0.000,0.000
Stefano Okaka,0,11,0,0,0,6.11,0.000,0.014,0.000,0.000,0.000
Stefano Sensi,2,203,2,0,1.75,7.45,0.222,0.251,0.154,0.000,0.087
Stephan El Shaarawy,1,47,0,0,2.5,6.125,0.111,0.058,0.000,0.000,0.000
Vincenzo Grifo,0,6,0,0,0,6.19,0.000,0.007,0.000,0.000,0.000
Adrien Rabiot,7,633,0,1,1,7.025,0.778,0.781,0.000,0.125,0.045
Anthony Martial,4,332,0,2,1.85,6.85,0.444,0.410,0.000,0.250,0.091
Antoine Griezmann,9,760,4,1,1.85,7.49,1.000,0.938,0.286,0.125,0.227
Benjamin Pavard,5,450,1,0,0.6,7.335,0.556,0.556,0.071,0.000,0.045
Clément Lenglet,3,270,0,0,0.75,6.91,0.333,0.333,0.000,0.000,0.000
Corentin Tolisso,1,63,0,0,0,6.49,0.111,0.078,0.000,0.000,0.000
Dayot Upamecano,2,180,1,0,1,7.55,0.222,0.222,0.071,0.000,0.045
Eduardo Camavinga,0,54,0,0,0.5,6.52,0.000,0.067,0.000,0.000,0.000
Ferland Mendy,2,182,0,0,0.3,6.47,0.222,0.225,0.000,0.000,0.000
Hugo Lloris,9,810,0,0,0,6.75,1.000,1.000,0.000,0.000,0.000
Kingsley Coman,3,221,1,0,0.9,6.445,0.333,0.273,0.071,0.000,0.045
Kurt Zouma,1,135,0,0,0.5,6.555,0.111,0.167,0.000,0.000,0.000
Kylian Mbappé,5,481,2,1,2.1,6.89,0.556,0.594,0.143,0.125,0.136
Lucas Digne,3,308,0,2,0,7.235,0.333,0.380,0.000,0.250,0.091
Lucas Hernández,6,503,0,0,0.6,6.645,0.667,0.621,0.000,0.000,0.000
Léo Dubois,2,178,0,0,0,6.775,0.222,0.220,0.000,0.000,0.000
Marcus Thuram,1,89,0,1,1,6.77,0.111,0.110,0.000,0.125,0.045
Moussa Sissoko,2,189,0,0,0,6.36,0.222,0.233,0.000,0.000,0.000
N'Golo Kanté,5,423,1,0,0.15,7.36,0.556,0.522,0.071,0.000,0.045
Nabil Fekir,0,12,0,0,1,5.92,0.000,0.015,0.000,0.000,0.000
Olivier Giroud,4,388,3,0,1.85,6.59,0.444,0.479,0.214,0.000,0.136
Ousmane Dembélé,1,117,1,0,1.5,7.04,0.111,0.144,0.071,0.000,0.045
Paul Pogba,5,462,0,0,1.4,6.86,0.556,0.570,0.000,0.000,0.000
Presnel Kimpembe,6,540,0,0,0.65,7.045,0.667,0.667,0.000,0.000,0.000
Raphael Varane,7,586,0,0,0.75,6.8,0.778,0.723,0.000,0.000,0.000
Steven Nzonzi,2,193,0,0,0,6.47,0.222,0.238,0.000,0.000,0.000
Tanguy Ndombele,1,82,0,0,0,6.83,0.111,0.101,0.000,0.000,0.000
Thomas Lemar,2,180,0,0,1,6.95,0.222,0.222,0.000,0.000,0.000
Wissam Ben Yedder,1,94,0,0,0,6.28,0.111,0.116,0.000,0.000,0.000
