name,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,team,is_penalty_taker,is_starter,price,points,position,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points
הוגו לוריס,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,צרפת,0,1,10,0,GK,הונגריה,2.0,0.72,1.04,1.56,0.8049999999999999,3.7336130047194547,0.5777121286722469,"(3, 0)",6.0
ג'ורדן פיקפורד,6,540,0,0,0.0,6.35,0.75,0.765,0.0,0.0,0.0,Jordan Pickford,אנגליה,0,1,8,0,GK,סקוטלנד,3.7,0.8999999999999999,1.1333333333333362,2.000000000000004,0.681,5.113483448461474,0.7047216349541939,"(5, 0)",6.0
סיימון מיניולה,4,395,0,0,0.0,6.565,0.444,0.488,0.0,0.0,0.0,Simon Mignolet,בלגיה,0,0,4,0,GK,דנמרק,3.2,0.36,2.3000000000000003,0.8999999999999999,0.17200000000000004,2.308038730015762,1.196258319841698,"(2, 1)",0.0
טיבו קורטואה,4,360,0,0,0.0,6.385,0.444,0.444,0.0,0.0,0.0,Thibaut Courtois,בלגיה,0,0,9,0,GK,דנמרק,3.2,0.36,2.3000000000000003,0.8999999999999999,0.17200000000000004,2.308038730015762,1.196258319841698,"(2, 1)",0.0
דויד דה חאה,4,360,0,0,0.0,6.92,0.571,0.562,0.0,0.0,0.0,David de Gea,ספרד,0,0,6,0,GK,פולין,2.4800000000000004,0.6,1.4400000000000002,0.6,0.35000000000000003,1.9935275080906154,0.8309572301425662,"(1, 0)",0.0
אונאי סימון,5,450,0,0,0.0,6.12,0.714,0.702,0.0,0.0,0.0,Unai Simón,ספרד,0,1,9,0,GK,פולין,2.4800000000000004,0.6,1.4400000000000002,0.6,0.35000000000000003,1.9935275080906154,0.8309572301425662,"(1, 0)",6.0
ברנד לנו,1,90,0,0,0.0,6.96,0.125,0.123,0.0,0.0,0.0,Bernd Leno,גרמניה,0,0,5,0,GK,פורטוגל,3.0,1.05,2.2,0.8999999999999999,-0.06299999999999994,1.8732888227100244,1.6943850685574264,"(1, 1)",0.0
קווין טראפ,1,90,0,0,0.0,7.11,0.125,0.123,0.0,0.0,0.0,Kevin Trapp,גרמניה,0,0,3,0,GK,פורטוגל,3.0,1.05,2.2,0.8999999999999999,-0.06299999999999994,1.8732888227100244,1.6943850685574264,"(1, 1)",0.0
מנואל נוייר,6,540,0,0,0.0,6.505,0.75,0.737,0.0,0.0,0.0,Manuel Neuer,גרמניה,0,1,9,0,GK,פורטוגל,3.0,1.05,2.2,0.8999999999999999,-0.06299999999999994,1.8732888227100244,1.6943850685574264,"(1, 1)",4.0
אנתוני לופס,5,450,0,0,0.0,6.405,0.556,0.556,0.0,0.0,0.0,Anthony Lopes,פורטוגל,0,0,4,0,GK,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.06299999999999994,1.6943850685574264,1.8732888227100244,"(1, 1)",0.0
רוי פטריסיו,4,360,0,0,0.0,6.91,0.444,0.444,0.0,0.0,0.0,Rui Patrício,פורטוגל,0,0,8,0,GK,גרמניה,2.2,0.8999999999999999,3.0,1.05,0.06299999999999994,1.6943850685574264,1.8732888227100244,"(1, 1)",0.0
ג'אנלואיג'י דונארומה,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,איטליה,0,1,8,0,GK,שווייץ,2.9600000000000004,0.48,1.9000000000000001,0.8999999999999999,0.28600000000000003,2.370716128239774,1.0034572898220762,"(2, 1)",4.0
טים קרול,5,450,0,0,0.0,6.225,0.556,0.556,0.0,0.0,0.0,Tim Krul,הולנד,0,0,5,0,GK,אוסטריה,2.4000000000000004,1.05,1.52,1.08,0.317,2.1915737766861896,1.0654616309439908,"(2, 1)",0.0
קספר שמייכל,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,דנמרק,0,1,7,0,GK,בלגיה,2.3000000000000003,0.8999999999999999,3.2,0.36,-0.17200000000000004,1.196258319841698,2.308038730015762,"(1, 2)",3.0
דומיניק ליבאקוביץ',9,810,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,קרואטיה,0,1,7,0,GK,צ`כיה,1.7000000000000002,1.05,1.3,1.65,0.12300000000000005,1.820553230802674,1.088013333950646,"(1, 1)",4.0
אואורג'אן צ'אקיר,4,360,0,0,0.0,6.6,0.5,0.531,0.0,0.0,0.0,Ugurcan Çakir,טורקיה,0,0,6,0,GK,וויילס,1.4400000000000002,0.36,1.0,0.8999999999999999,0.196,1.3408205363282144,0.6031577080007096,"(1, 0)",0.0
יאן זומר,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,שווייץ,0,1,7,0,GK,איטליה,1.9000000000000001,0.8999999999999999,2.9600000000000004,0.48,-0.28600000000000003,1.0034572898220762,2.370716128239774,"(1, 2)",3.0
לוקאש פביאנסקי,3,270,0,0,0.0,6.61,0.375,0.359,0.0,0.0,0.0,Lukasz Fabianski,פולין,0,0,6,0,GK,ספרד,1.4400000000000002,0.6,2.4800000000000004,0.6,-0.35000000000000003,0.8309572301425662,1.9935275080906154,"(0, 1)",0.0
ווייצ'ך שצ'סני,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,פולין,0,1,7,0,GK,ספרד,1.4400000000000002,0.6,2.4800000000000004,0.6,-0.35000000000000003,0.8309572301425662,1.9935275080906154,"(0, 1)",4.0
אנדרי פיאטוב,3,270,0,0,0.0,6.12,0.429,0.429,0.0,0.0,0.0,Andriy Pyatov,אוקראינה,0,0,3,0,GK,צפון מקדוניה,1.7000000000000002,0.6,1.0,1.4000000000000041,0.371,2.042564406667987,0.6445635096483101,"(2, 0)",0.0
כריסטופר נורדפלט,2,180,0,0,0.0,6.98,0.25,0.258,0.0,0.0,0.0,Kristoffer Nordfeldt,שבדיה,0,0,3,0,GK,סלובקיה,1.8399999999999999,1.08,1.2000000000000002,1.44,0.488,2.4018746338605736,0.8654722137868207,"(2, 0)",0.0
