name,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage,name_e,team,is_penalty_taker,is_starter,price,points,position,opponent,gfpg,gapg,opponent_gfpg,opponent_gapg,pr_diff,pred_GF,pred_GA,pred_score,pred_points
הוגו לוריס,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,צרפת,0,1,10,0,GK,גרמניה,2.0,0.72,3.0,1.05,0.19699999999999995,1.748953495039853,1.648863082310181,"(1, 1)",4.0
ג'ורדן פיקפורד,6,540,0,0,0.0,6.35,0.75,0.765,0.0,0.0,0.0,Jordan Pickford,אנגליה,0,1,8,0,GK,קרואטיה,3.7,0.8999999999999999,1.7000000000000002,1.05,0.31299999999999994,2.981608185299102,1.0802276787569074,"(2, 1)",4.0
סיימון מיניולה,4,395,0,0,0.0,6.565,0.444,0.488,0.0,0.0,0.0,Simon Mignolet,בלגיה,0,0,4,0,GK,רוסיה,3.2,0.36,2.0,0.96,0.552,3.243917654398004,0.86841330585811,"(3, 0)",0.0
טיבו קורטואה,4,360,0,0,0.0,6.385,0.444,0.444,0.0,0.0,0.0,Thibaut Courtois,בלגיה,0,0,9,0,GK,רוסיה,3.2,0.36,2.0,0.96,0.552,3.243917654398004,0.86841330585811,"(3, 0)",0.0
דויד דה חאה,4,360,0,0,0.0,6.92,0.571,0.562,0.0,0.0,0.0,David de Gea,ספרד,0,0,6,0,GK,שבדיה,2.4800000000000004,0.6,1.8399999999999999,1.08,0.17000000000000004,2.0011242270938734,1.0986042323277803,"(2, 1)",0.0
אונאי סימון,5,450,0,0,0.0,6.12,0.714,0.702,0.0,0.0,0.0,Unai Simón,ספרד,0,1,9,0,GK,שבדיה,2.4800000000000004,0.6,1.8399999999999999,1.08,0.17000000000000004,2.0011242270938734,1.0986042323277803,"(2, 1)",4.0
ברנד לנו,1,90,0,0,0.0,6.96,0.125,0.123,0.0,0.0,0.0,Bernd Leno,גרמניה,0,0,5,0,GK,צרפת,3.0,1.05,2.0,0.72,-0.19699999999999995,1.648863082310181,1.748953495039853,"(1, 1)",0.0
קווין טראפ,1,90,0,0,0.0,7.11,0.125,0.123,0.0,0.0,0.0,Kevin Trapp,גרמניה,0,0,3,0,GK,צרפת,3.0,1.05,2.0,0.72,-0.19699999999999995,1.648863082310181,1.748953495039853,"(1, 1)",0.0
מנואל נוייר,6,540,0,0,0.0,6.505,0.75,0.737,0.0,0.0,0.0,Manuel Neuer,גרמניה,0,1,9,0,GK,צרפת,3.0,1.05,2.0,0.72,-0.19699999999999995,1.648863082310181,1.748953495039853,"(1, 1)",4.0
אנתוני לופס,5,450,0,0,0.0,6.405,0.556,0.556,0.0,0.0,0.0,Anthony Lopes,פורטוגל,0,0,4,0,GK,הונגריה,2.2,0.8999999999999999,1.04,1.56,0.6709999999999999,3.3342200939966307,0.6754169132750757,"(3, 0)",0.0
רוי פטריסיו,4,360,0,0,0.0,6.91,0.444,0.444,0.0,0.0,0.0,Rui Patrício,פורטוגל,0,0,8,0,GK,הונגריה,2.2,0.8999999999999999,1.04,1.56,0.6709999999999999,3.3342200939966307,0.6754169132750757,"(3, 0)",0.0
ג'אנלואיג'י דונארומה,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,איטליה,0,1,8,0,GK,טורקיה,2.9600000000000004,0.48,1.4400000000000002,0.36,0.28700000000000003,2.040690884504272,0.809068307277401,"(2, 0)",6.0
טים קרול,5,450,0,0,0.0,6.225,0.556,0.556,0.0,0.0,0.0,Tim Krul,הולנד,0,0,5,0,GK,אוקראינה,2.4000000000000004,1.05,1.7000000000000002,0.6,0.345,1.9336126329358687,1.1231366142536245,"(1, 1)",0.0
קספר שמייכל,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,דנמרק,0,1,7,0,GK,פינלנד,2.3000000000000003,0.8999999999999999,1.2800000000000002,1.2,0.699,3.207184092366902,0.7494757107986386,"(3, 0)",6.0
דומיניק ליבאקוביץ',9,810,0,0,0.0,6.39,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,קרואטיה,0,1,7,0,GK,אנגליה,1.7000000000000002,1.05,3.7,0.8999999999999999,-0.31299999999999994,1.0802276787569074,2.981608185299102,"(1, 2)",3.0
אואורג'אן צ'אקיר,4,360,0,0,0.0,6.6,0.5,0.531,0.0,0.0,0.0,Ugurcan Çakir,טורקיה,0,0,6,0,GK,איטליה,1.4400000000000002,0.36,2.9600000000000004,0.48,-0.28700000000000003,0.809068307277401,2.040690884504272,"(0, 2)",0.0
יאן זומר,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,שווייץ,0,1,7,0,GK,וויילס,1.9000000000000001,0.8999999999999999,1.0,0.8999999999999999,0.197,1.6055966511841275,0.8421612517175657,"(1, 0)",6.0
לוקאש פביאנסקי,3,270,0,0,0.0,6.61,0.375,0.359,0.0,0.0,0.0,Lukasz Fabianski,פולין,0,0,6,0,GK,סלובקיה,1.4400000000000002,0.6,1.2000000000000002,1.44,0.308,1.800450112528132,0.7498750208298618,"(1, 0)",0.0
ווייצ'ך שצ'סני,6,540,0,0,0.0,6.45,0.75,0.718,0.0,0.0,0.0,Wojciech Szczesny,פולין,0,1,7,0,GK,סלובקיה,1.4400000000000002,0.6,1.2000000000000002,1.44,0.308,1.800450112528132,0.7498750208298618,"(1, 0)",6.0
אנדרי פיאטוב,3,270,0,0,0.0,6.12,0.429,0.429,0.0,0.0,0.0,Andriy Pyatov,אוקראינה,0,0,3,0,GK,הולנד,1.7000000000000002,0.6,2.4000000000000004,1.05,-0.345,1.1231366142536245,1.9336126329358687,"(1, 1)",0.0
כריסטופר נורדפלט,2,180,0,0,0.0,6.98,0.25,0.258,0.0,0.0,0.0,Kristoffer Nordfeldt,שבדיה,0,0,3,0,GK,ספרד,1.8399999999999999,1.08,2.4800000000000004,0.6,-0.17000000000000004,1.0986042323277803,2.0011242270938734,"(1, 2)",0.0
רובין אולסן,6,540,0,0,0.0,6.39,0.75,0.774,0.0,0.0,0.0,Robin Olsen,שבדיה,0,1,6,0,GK,ספרד,1.8399999999999999,1.08,2.4800000000000004,0.6,-0.17000000000000004,1.0986042323277803,2.0011242270938734,"(1, 2)",3.0
אלכסנדר שלאגר,5,450,0,0,0.0,5.705,0.556,0.565,0.0,0.0,0.0,Alexander Schlager,אוסטריה,0,0,6,0,GK,צפון מקדוניה,1.52,1.08,1.0,1.4000000000000041,0.39899999999999997,1.9712414770809452,0.8258228451185136,"(1, 0)",0.0
פאבאו פרבאן,4,360,0,0,0.0,6.7,0.444,0.452,0.0,0.0,0.0,Pavao Pervan,אוסטריה,0,0,3,0,GK,צפון מקדוניה,1.52,1.08,1.0,1.4000000000000041,0.39899999999999997,1.9712414770809452,0.8258228451185136,"(1, 0)",0.0
אנטון שונין,7,630,0,0,0.0,6.655,0.875,0.886,0.0,0.0,0.0,Anton Shunin,רוסיה,0,1,6,0,GK,בלגיה,2.0,0.96,3.2,0.36,-0.552,0.86841330585811,3.243917654398004,"(0, 3)",2.0
אלש מנדוס,1,90,0,0,0.0,5.91,0.143,0.143,0.0,0.0,0.0,Ales Mandous,צ`כיה,0,0,3,0,GK,סקוטלנד,1.3,1.65,1.1333333333333362,2.000000000000004,0.245,1.9625334522747573,1.2004888217957022,"(1, 1)",0.0
תומאש קובק,0,45,0,0,0.0,6.54,0.0,0.071,0.0,0.0,0.0,Tomás Koubek,צ`כיה,0,0,3,0,GK,סקוטלנד,1.3,1.65,1.1333333333333362,2.000000000000004,0.245,1.9625334522747573,1.2004888217957022,"(1, 1)",0.0
תומאש ואצליק,7,586,0,0,0.0,6.48,1.0,0.93,0.0,0.0,0.0,Tomás Vaclik,צ`כיה,0,1,6,0,GK,סקוטלנד,1.3,1.65,1.1333333333333362,2.000000000000004,0.245,1.9625334522747573,1.2004888217957022,"(1, 1)",4.0
אדם דייויס,0,11,0,0,0.0,6.13,0.0,0.015,0.0,0.0,0.0,Adam Davies,וויילס,0,0,3,0,GK,שווייץ,1.0,0.8999999999999999,1.9000000000000001,0.8999999999999999,-0.197,0.8421612517175657,1.6055966511841275,"(0, 1)",0.0
וויין הנסי,4,360,0,0,0.0,6.58,0.5,0.5,0.0,0.0,0.0,Danny Ward,וויילס,0,0,4,0,GK,שווייץ,1.0,0.8999999999999999,1.9000000000000001,0.8999999999999999,-0.197,0.8421612517175657,1.6055966511841275,"(0, 1)",0.0
קרייג גורדון,2,180,0,0,0.0,6.66,0.25,0.25,0.0,0.0,0.0,Craig Gordon,סקוטלנד,0,0,5,0,GK,צ`כיה,1.1333333333333362,2.000000000000004,1.3,1.65,-0.245,1.2004888217957022,1.9625334522747573,"(1, 1)",0.0
