name,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e
אדמילסון פרננדס,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,1,143,0,0,0.0,6.46,0.14285714285714285,0.22698412698412698,0.0,0.0,0.0,Edimilson Fernandes
אדמיר מחמדי,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,1,88,0,0,0.35,6.145,0.14285714285714285,0.13968253968253969,0.0,0.0,0.0,Admir Mehmedi
אוזאן טופאן,6,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,8,660,3,0,1.6,7.215,1.0,0.9734513274336283,0.1875,0.0,0.12,Ozan Tufan
אונדרי דודה,6,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,5,419,0,1,0.75,6.875,0.7142857142857143,0.665079365079365,0.0,0.14285714285714285,0.0625,Ondrej Duda
אליף אלמאס,6,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,6,535,2,1,1.0,7.16,0.6666666666666666,0.7058047493403694,0.11764705882352941,0.1,0.1111111111111111,Eljif Elmas
אלכסנדר טראיקובסקי,6,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,6,450,3,0,1.75,6.955,0.6666666666666666,0.5936675461741425,0.17647058823529413,0.0,0.1111111111111111,Aleksandar Trajkovski
אנטונין באראק,6,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,2,148,1,0,0.35,6.445,0.2857142857142857,0.23492063492063492,0.06666666666666667,0.0,0.037037037037037035,Antonin Barak
אניס בארדי,6,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,5,463,1,2,1.2,7.16,0.5555555555555556,0.6108179419525066,0.058823529411764705,0.2,0.1111111111111111,Enis Bardhi
אקסל ויטסל,6,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,5,450,1,0,1.4,7.03,0.5555555555555556,0.5555555555555556,0.03571428571428571,0.0,0.020833333333333332,Axel Witsel
בוקאיו סאקה,6,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,1,142,0,0,2.5,7.03,0.125,0.20113314447592068,0.0,0.0,0.0,Bukayo Saka
ג'וד בלינגהאם,6,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,0,45,0,0,3.0,7.31,0.0,0.06373937677053824,0.0,0.0,0.0,Jude Bellingham
ג'ון מגין,6,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,8,671,3,0,1.45,7.205,1.0,0.9319444444444445,0.25,0.0,0.13636363636363635,John McGinn
ג'ורדן הנדרסון,6,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,2,126,0,0,0.0,6.42,0.25,0.17847025495750707,0.0,0.0,0.0,Jordan Henderson
