name,position,price,pred_points,team,pred_score,opponent,Rating,Mins_percentage,GnA_percentage
אואורג'אן צ'אקיר,GK,6,6.0,טורקיה,"(1, 0)",וויילס,6.6,0.531,0.0
אלכסנדר זינצ'נקו,D,7,8.408183435461556,אוקראינה,"(2, 0)",צפון מקדוניה,6.865,0.851,0.133
צ'לאר סויונג'ו,D,6,6.506830162732065,טורקיה,"(1, 0)",וויילס,6.825,0.664,0.04
כריסטיאן אריקסן,M,9,4.656258319841698,דנמרק,"(1, 2)",בלגיה,7.055,0.957,0.129
אלסנדרו פלורנצי,D,8,4.711214838471932,איטליה,"(2, 1)",שווייץ,6.89,0.606,0.043
ריקרדו רודריגס,D,7,5.176296483683279,שווייץ,"(1, 2)",איטליה,7.125,0.959,0.056
ז'ואאו קאנסלו,D,8,5.326703508680465,פורטוגל,"(1, 1)",גרמניה,7.285,0.78,0.097
רומלו לוקאקו,FW,14,5.7742445395181266,בלגיה,"(2, 1)",דנמרק,7.54,0.778,0.167
ממפיס דפאיי,FW,12,6.47310787832987,הולנד,"(2, 1)",אוסטריה,8.26,0.874,0.219
מייסון מאונט,M,9,7.987889118148385,אנגליה,"(5, 0)",סקוטלנד,7.17,0.782,0.138
אנטואן גרייזמן,M,13,10.199171473518616,צרפת,"(3, 0)",הונגריה,7.49,0.938,0.227
