,name_h,name_e,team,is_penalty_taker,is_starter
445,אלש מאטייו,Ales Mateju,צ`כיה,0,0
446,תומאש סוצ'ק,Tomas Soucek,צ`כיה,0,1
447,אנטונין באראק,Antonin Barak,צ`כיה,0,0
448,ולדימיר דארידה,Vladimír Darida,צ`כיה,0,1
449,יאקוב יאנקטו,Jakub Jankto,צ`כיה,0,1
450,יאקוב פשק,Jakub Pesek,צ`כיה,0,0
451,לוקאס מאסופוסט,Lukas Masopust,צ`כיה,0,1
452,תומאש הולש,Tomás Holes,צ`כיה,0,0
453,אלכס קראל,Alex Kral,צ`כיה,0,1
454,מיכל סאדילק,,צ`כיה,0,0
455,פטר שבצ'יק,Petr Sevcik,צ`כיה,0,0
456,פטריק שיק,Patrik Schick,צ`כיה,1,1
457,אדם הלוזק,Adam Hlozek,צ`כיה,0,0
458,מאתיי וידרה,Matej Vydra,צ`כיה,0,0
459,מיכאל קרמנצ'יק,Michael Krmencik,צ`כיה,0,0
460,תומאש פקהארט,Tomas Pekhart,צ`כיה,0,0
461,סטולה דימיטרייבסקי,Stole Dimitrievski,צפון מקדוניה,0,1
462,דמיאן סיסקובסקי,Damjan Siskovski,צפון מקדוניה,0,0
463,ריסטה ינקוב,,צפון מקדוניה,0,0
464,אזגיאן אליוסקי,Ezgjan Alioski,צפון מקדוניה,1,1
465,סטפן ריסטובסקי,Stefan Ristovski,צפון מקדוניה,0,1
466,דרקו ולקובסקי,Darko Velkovski,צפון מקדוניה,0,1
467,ויסר מוסליו,Visar Musliu,צפון מקדוניה,0,1
468,אגזון בייטולאי,Egzon Bejtulai,צפון מקדוניה,0,0
469,גיוקו זייקוב,Gjoko Zajkov,צפון מקדוניה,0,0
470,קירה ריסטבסקי,Kire Ristevski,צפון מקדוניה,0,1
471,אליף אלמאס,Eljif Elmas,צפון מקדוניה,0,1
472,אלכסנדר טראיקובסקי,Aleksandar Trajkovski,צפון מקדוניה,0,1
473,אניס בארדי,Enis Bardhi,צפון מקדוניה,0,0
474,מריאן ראדסקי,Marjan Radeski,צפון מקדוניה,0,0
475,אריאן אדמי,Arijan Ademi,צפון מקדוניה,0,1
476,בובאן ניקולוב,Boban Nikolov,צפון מקדוניה,0,1
477,דרקו קורלינוב,Darko Churlinov,צפון מקדוניה,0,0
478,דניאל אברמובסקי,,צפון מקדוניה,0,0
479,טיומיר קוסטדינוב,Tihomir Kostadinov,צפון מקדוניה,0,0
480,סטפן ספירובסקי,Stefan Spirovski,צפון מקדוניה,0,0
481,פרהאן חסאני,Ferhan Hasani,צפון מקדוניה,0,0
482,גוראן פאנדב,Goran Pandev,צפון מקדוניה,0,1
483,איבן טריקובסקי,Ivan Trichkovski,צפון מקדוניה,0,0
484,מילאן ריסטובסקי,Milan Ristovski,צפון מקדוניה,0,0
485,ולאטקו סטויאנובסקי,Vlatko Stojanovski,צפון מקדוניה,0,0
486,קרסטה ולקובסקי,Krste Velkoski,צפון מקדוניה,0,0
487,הוגו לוריס,Hugo Lloris,צרפת,0,1
488,מייק מניאן,,צרפת,0,0
489,סטיב מנדאנדה,,צרפת,0,0
490,רפאל וראן,Raphael Varane,צרפת,0,1
491,בנז'מין פבאר,Benjamin Pavard,צרפת,0,1
492,לוקאס הרננדז,Lucas Hernández,צרפת,0,1
493,פרסנל קמפמבה,Presnel Kimpembe,צרפת,0,1
494,לוקה דין,Lucas Digne,צרפת,0,0
495,קורט זומה,Kurt Zouma,צרפת,0,0
496,ז'ול קונדה,Jules Koundé,צרפת,0,0
497,לאו דובואה,Léo Dubois,צרפת,0,0
498,קלמון לנגלה,Clément Lenglet,צרפת,0,0
499,אנטואן גרייזמן,Antoine Griezmann,צרפת,0,1
500,עוסמאן דמבלה,Ousmane Dembélé,צרפת,0,0
501,קינגסלי קומאן,Kingsley Coman,צרפת,0,0
502,פול פוגבה,Paul Pogba,צרפת,0,1
503,תומא למר,Thomas Lemar,צרפת,0,0
504,אדריין ראביו,Adrien Rabiot,צרפת,0,0
505,אנגולו קאנטה,N'Golo Kanté,צרפת,0,1
506,קורנטין טוליסו,Corentin Tolisso,צרפת,0,0
507,מוסא סיסוקו,Moussa Sissoko,צרפת,0,0
508,קיליאן אמבפה,Kylian Mbappé,צרפת,0,1
509,כרים בנזמה,Karim Benzema,צרפת,1,1
510,אוליביה ז'ירו,Olivier Giroud,צרפת,0,0
511,וויסאם בן יידר,Wissam Ben Yedder,צרפת,0,0
512,מרקוס תוראם,Marcus Thuram,צרפת,0,0
513,דומיניק ליבאקוביץ',Dominik Livakovic,קרואטיה,0,1
514,לוברה קאליניץ',,קרואטיה,0,0
515,סימון סלוגה,,קרואטיה,0,0
516,בורנה בארישיץ',Borna Barisic,קרואטיה,0,1
517,דומאגוי וידה,Domagoj Vida,קרואטיה,0,1
518,דיאן לוברן,Dejan Lovren,קרואטיה,0,0
519,שימה ורסאליקו,Sime Vrsaljko,קרואטיה,0,1
520,דוייה צ'אלטה-צאר,Duje Caleta-Car,קרואטיה,0,1
521,דומאגוי בראדריץ',Domagoj Bradaric,קרואטיה,0,0
522,יוסיפ יוראנוביץ',Josip Juranovic,קרואטיה,0,0
523,יושקו גברדיול,,קרואטיה,0,0
524,מילה שקוריץ',Mile Skoric,קרואטיה,0,0
525,איבן פרישיץ',Ivan Perisic,קרואטיה,0,1
526,אנטה רביץ',Ante Rebic,קרואטיה,0,0
527,ניקולה ולאשיץ',Nikola Vlasic,קרואטיה,0,1
528,לוקה מודריץ',Luka Modric,קרואטיה,1,1
529,מיסלאב אורשיץ',Mislav Orsic,קרואטיה,0,0
530,יוסיפ ברקאלו,Josip Brekalo,קרואטיה,0,0
531,מרסלו ברוזוביץ',Marcelo Brozovic,קרואטיה,0,1
532,מריו פשאליץ',Mario Pasalic,קרואטיה,0,0
533,מתאו קובאצ'יץ',Mateo Kovacic,קרואטיה,0,0
534,לוקה איבנושץ,Luka Ivanusec,קרואטיה,0,0
535,מילאן באדלי,Milan Badelj,קרואטיה,0,0
536,ברונו פטקוביץ',Bruno Petkovic,קרואטיה,0,0
537,אנדרי קרמאריץ',Andrej Kramaric,קרואטיה,0,0
538,אנטה בודימיר,Ante Budimir,קרואטיה,0,0
539,אנטון שונין,Anton Shunin,רוסיה,0,1
540,מאטביי סאפונוב,Matvey Safonov,רוסיה,0,0
541,יורי דיופין,,רוסיה,0,0
542,מריו פרננדס,Mario Fernandes,רוסיה,0,0
543,אנדריי סמנוב,Andrey Semenov,רוסיה,0,1
544,גיאורגי דז'יקיה,Georgi Dzhikiya,רוסיה,0,1
545,יורי ז'ירקוב,Yuri Zhirkov,רוסיה,0,1
546,פדור קודריאשוב,Fedor Kudryashov,רוסיה,0,0
547,ויאצ'יסלב קרבאייב,Vyacheslav Karavaev,רוסיה,0,0
548,איגור דיבייב,Igor Diveev,רוסיה,0,0
549,אלכסיי מירנצ'וק,Aleksey Miranchuk,רוסיה,0,1
550,אלכסנדר גולובין,Aleksandr Golovin,רוסיה,0,1
551,דניס צ'רישב,Denis Cheryshev,רוסיה,0,0
552,אלכסיי איאונוב,Aleksey Ionov,רוסיה,0,0
553,אנדריי מוסטובוי,Andrey Mostovoy,רוסיה,0,0
554,דאלר קוזיאייב,Daler Kuzyaev,רוסיה,0,0
555,דניס מקארוב,,רוסיה,0,0
556,מגומד אוזדויב,Magomed Ozdoev,רוסיה,0,1
557,רומן זובנין,Roman Zobnin,רוסיה,0,1
558,ריפאט ז'מאלטדינוב,Rifat Zhemaletdinov,רוסיה,0,0
559,דמיטרי בארינוב,Dimitri Barinov,רוסיה,0,0
560,דניל פומין,Daniil Fomin,רוסיה,0,0
561,מקסים מוחין,Maksim Mukhin,רוסיה,0,0
562,ארטם דזיובה,Artem Dzyuba,רוסיה,1,1
563,אלכסנדר סובולב,Alexander Sobolev,רוסיה,0,0
564,אנטון זבולוטני,Anton Zabolotny,רוסיה,0,0
565,רובין אולסן,Robin Olsen,שבדיה,0,1
566,כריסטופר נורדפלט,Kristoffer Nordfeldt,שבדיה,0,0
567,קארל יוהאן יוהאנסון,,שבדיה,0,0
568,ויקטור לינדלוף,Victor Lindelöf,שבדיה,0,1
569,לודוויג אוגוסטינסון,Ludwig Augustinsson,שבדיה,0,1
570,אמיל קראפט,Emil Krafth,שבדיה,0,0
571,אנדראס גראנקוויסט,,שבדיה,0,0
572,מיקאל לוסטיג,Carl Mikael Lustig,שבדיה,0,1
573,מרטין אולסון,Martin Olsson,שבדיה,0,0
574,פונטוס ינסון,Pontus Jansson,שבדיה,0,0
575,פיליפ הלנדר,Filip Helander,שבדיה,0,0
576,מרכוס דניאלסון,Marcus Danielson,שבדיה,0,0
577,אמיל פורסברג,Emil Forsberg,שבדיה,1,1
578,דז'אן קולוסבסקי,Dejan Kulusevski,שבדיה,0,0
579,ויקטור קלאסון,Viktor Claesson,שבדיה,0,0
580,קן סמה,Ken Sema,שבדיה,0,0
581,מתיאס סוואנברג,Mattias Svanberg,שבדיה,0,0
582,סבסטיאן לארסון,Sebastian Larsson,שבדיה,0,0
583,אלבין אקדל,Albin Ekdal,שבדיה,0,0
584,גוסטב סוונסון,Gustav Svensson,שבדיה,0,0
585,ינס קאיוסטה,Jens Cajuste,שבדיה,0,0
586,כריסטופר אולסון,Kristoffer Olsson,שבדיה,0,0
587,אלכסנדר איסאק,Alexander Isak,שבדיה,0,1
588,מרכוס ברג,Marcus Berg,שבדיה,0,1
589,ז'ורדן לארסון,,שבדיה,0,0
590,רובין קייסון,Robin Quaison,שבדיה,0,0
591,יאן זומר,Yann Sommer,שווייץ,0,1
592,יבון מבוגו,,שווייץ,0,0
593,יונאס אומלין,,שווייץ,0,0
594,מנואל אקנג'י,Manuel Akanji,שווייץ,0,1
595,ניקו אלבדי,Nico Elvedi,שווייץ,0,1
596,פביאן שר,Fabian Schär,שווייץ,0,1
597,ריקרדו רודריגס,Ricardo Rodríguez,שווייץ,1,1
598,סילבן ווידמר,Silvan Widmer,שווייץ,0,0
599,קווין אמבאבו,Kevin Mbabu,שווייץ,0,1
600,לוריס בניטו,Loris Benito,שווייץ,0,0
601,אראי קומארט,,שווייץ,0,0
602,בצ'יר אומרגיץ',Becir Omeragic,שווייץ,0,0
603,ג'ורדן לוטומבה,,שווייץ,0,0
604,שרדאן שאקירי,Xherdan Shaqiri,שווייץ,0,1
605,אדמילסון פרננדס,Edimilson Fernandes,שווייץ,0,0
606,אדמיר מחמדי,Admir Mehmedi,שווייץ,0,0
607,גרניט ג'אקה,Granit Xhaka,שווייץ,0,1
608,כריסטיאן פסנאכט,,שווייץ,0,0
609,רובן ורגאס,Ruben Vargas,שווייץ,0,0
610,רמו פרוילר,Remo Freuler,שווייץ,0,1
611,דניס זקאריה,Denis Zakaria,שווייץ,0,0
612,סטיבן צובר,Steven Zuber,שווייץ,0,0
613,ג'יבריל סו,Djibril Sow,שווייץ,0,0
614,האריס ספרוביץ',Haris Seferovic,שווייץ,0,1
615,בריל אמבולו,Breel Embolo,שווייץ,0,1
616,מריו גברנוביץ',Mario Gavranovic,שווייץ,0,0
